index,rt,height,area,fwhm,asymmetry,score,algorithm
402,4.022011005502751,0.28608462023642367,0.05507834555469198,0.32016008004001995,1.0000000000000027,0.8512279438290667,ALG-D
851,8.514257128564282,0.22771817801249353,0.04462750106342633,0.2801400700350172,1.0,0.8199613710639039,ALG-D
1302,13.026513256628315,0.17556425389187422,0.03601808178851596,0.33016508254127075,1.062499999999987,0.7783336715046709,ALG-D
1652,16.52826413206603,0.197803694962853,0.02738984592652421,0.12006003001500787,2.000000000000089,0.7982273831409364,ALG-D
402,4.022011005502751,0.2860485620006922,0.055320634000415,0.32016008004001995,1.0000000000000027,0.8512119804878171,ALG-W
850,8.504252126063031,0.24577891515832206,0.05144643752970525,0.2801400700350172,1.1538461538461497,0.830954819841582,ALG-W
1303,13.036518259129565,0.16820888203500506,0.033084475024156464,0.3201600800400204,0.8823529411764638,0.7708617562506965,ALG-W
1652,16.52826413206603,0.21088718738735723,0.026016020422060936,0.12006003001500787,2.000000000000089,0.8083462798586519,ALG-W
402,4.022011005502751,0.2860485620006922,0.055320634000415,0.32016008004001995,1.0000000000000027,0.8512119804878171,ALG-M
850,8.504252126063031,0.24577891515832206,0.05144643752970525,0.2801400700350172,1.1538461538461497,0.830954819841582,ALG-M
1303,13.036518259129565,0.16820888203500506,0.033084475024156464,0.3201600800400204,0.8823529411764638,0.7708617562506965,ALG-M
1652,16.52826413206603,0.21088718738735723,0.026016020422060936,0.12006003001500787,2.000000000000089,0.8083462798586519,ALG-M
402,4.022011005502751,0.28608462023642367,0.05507834555469198,0.32016008004001995,1.0000000000000027,0.8512279438290667,ALG-C
851,8.514257128564282,0.22771817801249353,0.04462750106342633,0.2801400700350172,1.0,0.8199613710639039,ALG-C
1302,13.026513256628315,0.17556425389187422,0.03601808178851596,0.33016508254127075,1.062499999999987,0.7783336715046709,ALG-C
1652,16.52826413206603,0.197803694962853,0.02738984592652421,0.12006003001500787,2.000000000000089,0.7982273831409364,ALG-C
400,3.9994784971426,0.5326528728521434,0.04319777573529697,0.26013006503251646,1.363636363636352,1.0,ALG-E
849,8.494333760720586,0.4335220917518223,0.04623462761731107,0.1600800400200093,1.666666666666647,1.0,ALG-E
1301,13.015856369487606,0.3504386186386718,0.03565293253468344,0.3201600800400204,1.133333333333342,1.0,ALG-E
1649,16.493944420340945,1.0611035443446484,0.025592109225161735,0.16008004002000575,1.0,1.0,ALG-E
402,4.022011005502751,0.2860485620006922,0.055320634000415,0.32016008004001995,1.0000000000000027,0.8512119804878171,ALG-GNN
851,8.514257128564282,0.224738360757637,0.04463053944240976,0.2801400700350172,1.0,0.8180086688217959,ALG-GNN
1302,13.026513256628315,0.17236743782304795,0.03515144420413274,0.3201600800400204,0.9999999999999889,0.7751469347783364,ALG-GNN
1652,16.52826413206603,0.21088718738735723,0.026016020422060936,0.12006003001500787,2.000000000000089,0.8083462798586519,ALG-GNN
